"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Tongaat",-29.560833,31.122222,"Tongaat, 4400, South Africa",,,"Tongaat","Tongaat","eThekwini Metropolitan Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Revolcadero Beach, Acapulco",16.77334775,-99.79586068921886,"Playa Revolcadero, Puerto Marqués, Acapulco de Juárez, Mexico",,,"Puerto Marqués","Playa Revolcadero","Acapulco de Juárez","Guerrero","GRO","Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Queensberry Bay",-32.8802778,28.0980556,"Queensberry Bay, Great Kei Local Municipality, EC, South Africa",,,"Great Kei Local Municipality","Queensberry Bay","Amathole District Municipality","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Xai Xai",-25.044479,33.64073,"Xai-Xai, Gaza Province, Mozambique",,,"Xai-Xai","Xai-Xai","Cidade de Xai-Xai","Gaza Province",,"Mozambique","mz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tasman Island",-43.23873035,148.00284103094785,"Tasman Island, Tasman, TAS, Australia",,,"Tasman","Tasman Island",,"Tasmania","TAS","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Buffels Bay",-34.3181974,18.4618681,"Buffels Bay, WC, South Africa",,,,"Buffels Bay",,"Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Matanzas Inlet, St Johns County",29.7060576,-81.2258332,"Matanzas Inlet, Summer Haven, FL, United States of America",,,"Summer Haven","Matanzas Inlet","Saint Johns County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Gijana, 150 km inland",-31.578013,28.807864,"8 Gijana Street, King Sabata Dalindyebo, South Africa",,,"King Sabata Dalindyebo",,"O.R.Tambo","Eastern Cape","EC","South Africa","za",0,"© OpenAddresses contributors","BSD-3-Clause License",
,,,,,,,,,,,,,,,,
"Hawaii",19.593801499999998,-155.42837009716908,"Hawaii, United States of America",,,,,,"Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Stockton Bight",-32.85106,151.96307,"Stockton Bight, NSW, Australia",,,,"Stockton Bight",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Mossel Bay",-34.1832022,22.1536248,"Mossel Bay Local Municipality, 6506, South Africa",,,"Mossel Bay Local Municipality","Mossel Bay","Garden Route District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bakar",45.3066028,14.5346321,"51222 Bakar, Croatia",,,"Bakar","Bakar","Primorje-Gorski Kotar County",,,"Croatia","hr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tamsui Beach",25.078059,121.505138,"Tamsui River Bridge, Laoshi, Taipei, Taiwan",,,"Taipei",,"Taipei City","Taipei",,"Taiwan","tw",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bellambi",-34.362853,150.9100489,"Bellambi Lane, Bellambi NSW 2518, Australia",,,"Wollongong City Council","Bellambi",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Florida Strait",26.9171374,-82.0637547,"Sea Bass Strait, Punta Gorda, FL 33950, United States of America",,,"Punta Gorda","Sea Bass Strait","Charlotte County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"American Shoals off Key West",,,,,,,,,,,,,,,,
"Tamsui Beach, Taipai",25.078059,121.505138,"Tamsui River Bridge, Laoshi, Taipei, Taiwan",,,"Taipei",,"Taipei City","Taipei",,"Taiwan","tw",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Palm Beach County",26.6279798,-80.4494174,"Palm Beach, FL, United States of America",,,,,"Palm Beach","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Hamelin Bay",-34.2202758,115.0313474,"Hamelin Bay, WA, Australia",,,"Hamelin Bay",,,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Alderman Islands",-36.9636055,176.086404,"The Alderman Islands, WKO, New Zealand",,,,"The Alderman Islands",,"Waikato","WKO","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ocean Ridge, Boca Raton, Palm Beach County",26.375019,-80.104975,"Boca Raton, FL, United States of America",,,"Boca Raton",,"Palm Beach County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Whitewood Point on Lloyd Neck in Oyster Bay",40.661136,-73.448082,"Whitewood Drive, Massapequa Park, NY, United States of America","Oyster Bay",,"Massapequa Park",,"Nassau County","New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Otford",51.31091645,0.18667083121820838,"Otford, Sevenoaks, ENG, United Kingdom",,"KEN","Sevenoaks",,"Kent","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Leeward side of island, directly in back of Mid-Pac barrel storage area",43.70553,-65.07443,"East Side of Ragged Island, NS, Canada",,,"East Side of Ragged Island",,"Shelburne","Nova Scotia","NS","Canada","ca",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Parry Island",45.241366,-80.1954763,"Parry Island, Parry Sound District, ON, Canada",,,,"Parry Island","Parry Sound District","Ontario","ON","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Between Unisan & Angadanan Islands",13.835796,121.97854790926613,"Unisan Library & Resource Learning Center, Route 610, Unisan, 4305 Quezon, Philippines",,,"Unisan","Unisan Library & Resource Learning Center","Agdangan","Quezon",,"Philippines","ph",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Panama City, Bay County",30.1600827,-85.6545729,"Panama City, FL, United States of America",,,"Panama City",,"Bay County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Coronado Strand, San Diego County",32.6254148,-117.1385572,"Silver Streetrand Boulevard & Coronado Cays Boulevard, Silver Strand Boulevard, Coronado, CA, United States of America","Crown Island",,"Coronado","Silver Streetrand Boulevard & Coronado Cays Boulevard","San Diego County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Fisherman's Island, near Port Moresby",43.0124,-86.01462,"Fishermans Island, Allendale, MI, United States of America","Allendale",,"Allendale","Fishermans Island","Ottawa County","Michigan","MI","United States","us",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Hilo, Hawai'i",19.7073734,-155.08158,"Hilo, HI 96720, United States of America",,,"Hilo",,"Hawaiʻi County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lavongai",-2.51950565,150.23928861261473,"New Hanover, Lamet District, Papua New Guinea",,,,"New Hanover","Lamet District","New Ireland","NIK","Papua New Guinea","pg",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kila Beach, Port Moresby",-9.5,147.18333,"Kila, National Capital, Papua New Guinea",,,,"Kila",,"National Capital",,"Papua New Guinea","pg",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Juno Beach, Palm Beach County",26.8815475,-80.0539253,"Juno Beach, FL, United States of America",,,"Juno Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Maile Beach, O'ahu",48.821588,8.712405,"Im Maile, Unterreichenbach, Germany","Bad Liebenzell",,"Unterreichenbach",,"Calw","Baden-Württemberg","BW","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"50 miles off Port La Libertad",-8.062733,-78.578365,"La Libertad, Peru",,,,"La Libertad",,"La Libertad","LAL","Peru","pe",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Port Edward",54.2246496,-130.2921229,"Port Edward, BC, Canada",,,"Port Edward",,"North Coast Regional District","British Columbia","BC","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Triabunna",-42.504035,147.9139308,"Triabunna TAS 7190, Australia",,,"Triabunna",,,"Tasmania","TAS","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Dodnduwa",,,,,,,,,,,,,,,,
"Miramar Beach, Tampico",22.277212,-97.875388,"Tampico, Mexico",,,"Tampico",,"Tampico","Tamaulipas","TAM","Mexico","mx",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Watson Taylor's Lake, 25 miles south of Port Macquarie",-31.463755,152.898783,"Port Macquarie, Port Macquarie-Hastings, Australia","Port Macquarie",,"Port Macquarie",,"Port Macquarie-Hastings","New South Wales","NSW","Australia","au",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Knobby's Beach, Newcastle",-32.927447,151.790254,"Beach Street, Newcastle East NSW, Australia","Newcastle East",,"Newcastle East",,"Newcastle","New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Glenelg",57.2124802,-5.6208263,"Glenelg, IV40 8LB, United Kingdom",,"HLD","Glenelg","Glenelg","Highland","Scotland","SCT","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Dorquain, on the Karun River",,,,,,,,,,,,,,,,
"200 miles Leyte",37.873476,-80.863428,"200 Miles, Meadow Bridge, WV 25976, United States of America",,,"Meadow Bridge",,"Fayette County","West Virginia","WV","United States","us",0,"© OpenAddresses contributors","BSD-3-Clause License",
"Scottburgh",-30.286041,30.754365,"Scottburgh, uMdoni Local Municipality, 4180, South Africa",,,"uMdoni Local Municipality","Scottburgh","Ugu District Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Maroochydore Beach",-26.65951775,153.1048356361493,"Maroochydore Beach, Sunshine Coast Regional, QLD, Australia",,,"Sunshine Coast Regional","Maroochydore Beach",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cottesloe, Perth",-31.9921125,115.7632414,"Perth Street, Cottesloe WA 6011, Australia",,,,"Perth Street","Town of Cottesloe","Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"River Tigris",34.9983593,43.5712969,"Tigris River, Iraqi Kurdistan Region, 10016, Iraq",,,,"Tigris River",,"Iraqi Kurdistan Region",,"Iraq","iq",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Trinity Beach, 17 km northwast of Cairns",-16.78695,145.697808,"17 Trinity Beach Road, Trinity Beach QLD 4879, Australia","Trinity Beach",,"Trinity Beach",,"Cairns","Queensland","QLD","Australia","au",0,"© OpenAddresses contributors","BSD-3-Clause License",
"Savona",44.3080251,8.4810315,"17100 Savona SV, Italy",,"SV","Savona",,"Savona","Liguria","LIG","Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"300 nm from shore",,,,,,,,,,,,,,,,
"Between Esmeraldas & Salinas",34.4288553,-119.676657,"Salinas & Montecito, North Salinas Street, Santa Barbara, CA 93103, United States of America",,,"Santa Barbara","Salinas & Montecito","Santa Barbara County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Aroma Passage",-34.692117,-58.697376,"Aroma, B, Argentina",,,,,"Merlo","Buenos Aires","B","Argentina","ar",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Near Encino, Los Angeles County",34.15775,-118.500706,"Encino, Los Angeles, CA, United States of America",,,"Los Angeles","Encino","Los Angeles County","California","CA","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Dana Point, Orange County",33.4669721,-117.6981075,"Dana Point, CA, United States of America",,,"Dana Point",,"Orange County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Bathurst Island",-11.76157225,130.61379362586405,"Bathurst Island Airport, Kerinauia Highway, Wurrumiyanga, Australia","Tiwi Islands",,"Wurrumiyanga","Bathurst Island Airport",,,,"Australia","au",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Honokohau, Maui",21.0172326,-156.6082865,"Honokohau, HI, United States of America",,,"Honokohau","Honokohau","Maui County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Brisbane River",-27.5329355,152.95765433069155,"Brisbane River, Brisbane City, Sinnamon Park, Australia","Sinnamon Park",,"Brisbane City","Brisbane River",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Barrier Reef near Innisfail",26.569402,-80.150485,"Barrier Reef, Palm Beach County, FL, United States of America",,,,,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Folly Island, near Charleston",32.7786138,-79.96935925067135,"35 Folly Road, Charleston, SC 29407, United States of America",,,"Charleston","35 Folly","Charleston County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Miramar subdivision, Havana",14.899361,120.244476,"Subdivision, Central Luzon, Philippines",,,,,"Subic","Central Luzon",,"Philippines","ph",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Porto Limon",50.58907705,8.681872960026077,"off. Vollzugsanstalt, Gutfleischstraße 6, 35390 Gießen, Germany","Nordstadt",,"Gießen","off. Vollzugsanstalt","Landkreis Gießen","Hesse",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Two miles from shore in Tamarind Bay",,,,,,,,,,,,,,,,
"Maroubra Bay",-33.94986275,151.26135702951328,"Maroubra Bay, Maroubra NSW 2035, Australia","Eastern Suburbs",,"Sydney","Maroubra Bay",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tampico",22.2157619,-97.8577713,"89080 Tampico, TAM, Mexico",,,"Tampico","Tampico","Tampico","Tamaulipas","TAM","Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bellambi Reef",-34.362793,150.912232,"Bellambi Lane, Bellambi NSW, Australia","Bellambi",,"Bellambi",,"Wollongong","New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bunbury",-33.3267797,115.636698,"Bunbury WA 6230, Australia",,,"Bunbury","Bunbury",,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Beqa",-18.3911869,178.12285193309967,"Beqa, Raviravi, Rewa, Fiji",,,"Raviravi","Beqa","Rewa","Central",,"Fiji","fj",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Isla Cabrera",-48.73041915,-75.20992433842258,"Isla Cabrera, Puerto Natales, Provincia de Última Esperanza, Chile",,,"Puerto Natales","Isla Cabrera","Provincia de Última Esperanza","Region of Magallanes and Chilean Antarctica",,"Chile","cl",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cristobal",40.4692924,-5.8898816,"37684 Cristóbal, Spain",,"SA","Cristóbal",,"Salamanca","Castile and León",,"Spain","es",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"20 miles off Sydney",46.16551,-60.173398,"Sydney Indian Reserve No. 28A, NS, Canada",,,"Sydney Indian Reserve No. 28A",,"Cape Breton","Nova Scotia","NS","Canada","ca",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Pensacola Bay, Escambia County",30.388064,-87.18767789386679,"Pensacola Bay, Gulf Breeze, FL, United States of America",,,"Gulf Breeze","Pensacola Bay","Santa Rosa County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Panama City, Bay County",30.1600827,-85.6545729,"Panama City, FL, United States of America",,,"Panama City",,"Bay County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Naples",40.8358846,14.2487679,"Naples, Napoli, Italy",,"NA","Naples",,"Napoli","Campania","CAM","Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Havana Harbor",44.384111000000004,-68.20313000000002,"Havana, 318 Main Street, Bar Harbor, ME 04609, United States of America",,,"Bar Harbor","Havana","Hancock County","Maine","ME","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Koko Head, south side of O'ahu Island",64.779262,-18.673522,"Iceland",,,,"Iceland",,,,"Iceland","is",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Near Port Lavaca, Calhoun County",28.616975,-96.621588,"Port Lavaca, TX, United States of America",,,"Port Lavaca",,"Calhoun County","Texas","TX","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Near mouth of River Cumalarang, 5 miles from Port Isabela, Basilan Island",,,,,,,,,,,,,,,,
"Governor's Reef, Port Phillip Bay",-34.724653,135.847105,"Reef Court, Port Lincoln SA, Australia","Port Lincoln",,"Port Lincoln",,"Port Lincoln","South Australia","SA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Fiume",45.3267976,14.442208,"Grad Rijeka, Primorje-Gorski Kotar County, Croatia",,,"Grad Rijeka",,"Primorje-Gorski Kotar County",,,"Croatia","hr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Cadiz",36.5297438,-6.2928976,"Cádiz, Andalusia, Spain",,"CA","Cádiz",,"Bay of Cádiz","Andalusia",,"Spain","es",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Between Manhattan and The Bronx",53.523638,-113.509911,"The Manhattan, 10855 Saskatchewan Drive NW, Edmonton, AB T6E 6T6, Canada","Mature Area Sector",,"Edmonton","The Manhattan","Edmonton","Alberta","AB","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Kirinaiki",,,,,,,,,,,,,,,,
"In a river feeding into the Bay of Bengal",,,,,,,,,,,,,,,,
"18.8S, 178.25E",52.360169,4.752087,"Lijnderdijk 188S, 1175 KE Lijnden, Netherlands","Haarlemmermeer",,"Lijnden",,,"North Holland","NH","Netherlands","nl",0,"© OpenAddresses contributors","BSD-3-Clause License",
"Ocracoke Inlet",35.06391455,-76.02669166944023,"Ocracoke Inlet, Carteret County, NC, United States of America",,,,"Ocracoke Inlet","Carteret County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Flamingo Marina, Homestead, Miami-Dade County",25.782413499999997,-80.19009472420905,"MarinaBlue, Northeast 8th Street, Miami, FL 33132, United States of America",,,"Miami","MarinaBlue","Miami-Dade County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Key Largo, Monroe County",25.091338,-80.46777414781022,"Key Largo, Monroe County, FL, United States of America",,,,"Key Largo","Monroe County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Seaview Beach, Suffolk County",42.3718507,-70.9828472,"Seaview Avenue, Winthrop, MA 02152, United States of America","Cottage Park",,"Winthrop","Seaview Avenue","Suffolk County","Massachusetts","MA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Maafilaafushi Island, Lhaviyani Atoll",53.09975,14.241523,"Straße Id, Schwedt, Germany","Schwedt/Oder",,"Schwedt",,"Uckermark","Brandenburg","BB","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kamala Beach",7.9580664,98.2832667146265,"Kamala Beach, Kathu, Thailand","Kamala",,,"Kamala Beach","Kathu","Phuket Province",,"Thailand","th",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ubatuba Beach",-23.74156515,-45.34865430301305,"Sino Beach, Ilhabela, Região Metropolitana do Vale do Paraíba e Litoral Norte, Brazil","Ilhabela",,"Ilhabela","Sino Beach","Região Metropolitana do Vale do Paraíba e Litoral Norte","São Paulo","SP","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ocean Isle, Brunswick County",33.8943393,-78.426672,"Ocean Isle Beach, NC, United States of America",,,"Ocean Isle Beach",,"Brunswick County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Chintsa",-32.8281156,28.1035434,"Chintsa, Great Kei Ward 6, Great Kei Local Municipality, 5275, South Africa",,,"Great Kei Local Municipality","Chintsa","Amathole District Municipality","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Orient Beach",41.1287204,-72.2655765,"Orient Beach, Southold, NY 11957, United States of America",,,"Town of Southold","Orient Beach","Suffolk County","New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Chebilang pier",,,,,,,,,,,,,,,,
"Off Barra Vieja",47.836411,11.128264,"Josef-Off-Weg, Weilheim i. OB, Germany","Weilheim i. OB",,"Weilheim i. OB",,"Weilheim-Schongau","Bavaria",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Napoopoo Park in Kealakekua Bay, The Big Island",51.482172,-0.489219,"The Island, London, United Kingdom","Hillingdon",,"London",,"Greater London","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pitt Island or Chatham Island",-44.279973,-176.215816,"Pitt Island, Chatham Islands, New Zealand",,,"Pitt Island",,"Chatham Islands","Chatham Islands",,"New Zealand","nz",0,,,"https://www.whosonfirst.org/docs/licenses/"
"South Steyne",-33.7971473,151.2880967,"South Steyne, Sydney NSW 2095, Australia",,,"Sydney","South Steyne",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Staniel Cay",24.1706517,-76.44158813441913,"Staniel Cay, Exuma, The Bahamas",,,"Exuma","Staniel Cay",,,,"The Bahamas","bs",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cathedral Rock",-36.5823592,175.7763078148798,"Cathedral Rock, WKO, New Zealand",,,,"Cathedral Rock",,"Waikato","WKO","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Wrightsville Beach",34.2079917,-77.7955907,"Wrightsville Beach, NC, United States of America",,,"Wrightsville Beach",,"New Hanover County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Awendaw, Charleston County",33.0376703,-79.613127,"Awendaw, SC, United States of America",,,"Awendaw",,"Charleston County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pointe au Sal",45.801859,-74.253221,"Pointe au vent, Gore, QC, Canada",,,"Gore",,"Argenteuil","Quebec","QC","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Playa Baghdad, Matamoros",25.850734,-97.471092,"Playa Novilleros, Heroica Matamoros, TAM, Mexico",,,"Heroica Matamoros",,"Matamoros","Tamaulipas","TAM","Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Gloucester, Essec County",51.542393,13.926356,"Off Road, Schipkau, Germany","Schipkau",,"Schipkau",,"Oberspreewald-Lausitz","Brandenburg","BB","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ocean Reef Park, Singer Island, Palm Beach County",26.78506,-80.03754,"Singer Island, Riviera Beach, FL, United States of America",,,"Riviera Beach","Singer Island","Palm Beach County","Florida","FL","United States","us",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Myrtle Beach, Horry County",33.6956461,-78.8900409,"Myrtle Beach, SC 29577, United States of America",,,"Myrtle Beach",,"Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Avon, Hatteras Island, Outer Banks, Dare County",35.215573,-75.689295,"Hatteras, NC, United States of America",,,"Hatteras",,"Dare County","North Carolina","NC","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Surf City",34.46505775,-77.57412315290213,"Surf City, NC, United States of America",,,"Surf City","Surf City","Pender County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kelpids Beach, Wylie Bay, Esperance",-33.830379,121.961495,"Wylie Bay Road, Myrup WA, Australia",,,"Myrup",,"Esperance","Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fletcher Beach, Hutchinson Island, Martin County",32.098991,-81.099832,"Hutchinson Island Road, Chatham County, GA, United States of America",,,,,"Chatham County","Georgia","GA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Surfside Beach, Horry  County",33.6060031,-78.9730887,"Surfside Beach, SC, United States of America",,,"Surfside Beach",,"Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Hallandale Beach, Broward County",25.9812025,-80.148379,"Hallandale Beach, Broward County, FL, United States of America",,,,,"Broward County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Table Beach, Brevard County",35.232996,-82.731589,"Brevard, NC, United States of America",,,"Brevard",,"Transylvania County","North Carolina","NC","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Winterhaven Park,           Ponce Inlet, Volusia County",29.10432725,-80.9413695402376,"Winterhaven Park, Ponce Inlet, FL, United States of America",,,"Ponce Inlet","Winterhaven Park","Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Compass Cay",24.2707658,-76.52078513640123,"Compass Cay, Exuma, The Bahamas",,,"Exuma","Compass Cay",,,,"The Bahamas","bs",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
